original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
The Dangerous Lives of Altar Boys,2002-10-04,"Comedy, Drama",104,USA,English,Peter Care,"Chris Fuhrman, Jeff Stockwell","Emile Hirsch, Kieran Culkin, Vincent D'Onofrio, Jena Malone, Jake Richardson, Tyler Long, Jodie Foster, Arthur Bridgers, Scott Simpson, Melissa McBride, Michael Harding, Chandler McIntyre, Jeffrey West, Yvonne Erickson, Nicky Olson","A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",7,13031,12000000,2036599,120,-9963401
Devdas,2002-07-12,"Drama, Musical, Romance",185,India,Hindi,Sanjay Leela Bhansali,"Saratchandra Chatterjee, Prakash Kapadia","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Kiron Kher, Smita Jaykar, Tiku Talsania, Vijayendra Ghatge, Milind Gunaji, Ananya Khare, Manoj Joshi, Ava Mukherjee, Dina Pathak, Vijay Crishna, Muni Jha","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",7.6,37484,6000000,5427830,133,-572170
Cats & Dogs,2001-10-31,"Action, Comedy, Family",87,"USA, Australia",English,Lawrence Guterman,"John Requa, Glenn Ficarra","Jeff Goldblum, Elizabeth Perkins, Alexander Pollock, Miriam Margolyes, Myron Natwick, Doris Chillcott, Kirsten Robek, Frank C. Turner, Mar Andersons, Gillian Barber, Carol Ann Susi, Randi Kaplan, Mary Bogue, Alvin Sanders, Mark Schooley","A look at the top-secret, high-tech espionage war going on between cats and dogs, of which their human owners are blissfully unaware.",5.1,55612,60000000,200687492,237,140687492
Saving Silverman,2002-05-03,"Comedy, Crime, Romance",90,"USA, Australia",English,Dennis Dugan,"Hank Nelken, Greg DePaul","Steve Zahn, Jack Black, Jason Biggs, Amanda Peet, Amanda Detmer, R. Lee Ermey, Neil Diamond, Kyle Gass, Norman Armour, Colin Foo, Christopher Logan, Esme Lambert, Max Fomitchev, Tony Parsons, Brett Armstrong",A pair of buddies conspire to save their best friend from marrying the wrong woman.,5.9,38264,22000000,26086706,209,4086706
Say It Isn't So,2001-06-22,"Comedy, Romance",95,USA,English,J.B. Rogers,"Peter Gaulke, Gerry Swallow","Chris Klein, Heather Graham, Orlando Jones, Sally Field, Richard Jenkins, John Rothman, Jack Plotnick, Eddie Cibrian, Mark Pellegrino, Brent Hinkley, Henry Cho, Richard Riehle, Brent Briscoe, Ezra Buzzington, Julie White",Jo and Gilly date. They find out they're brother and sister. Jo moves away. Gilly finds out that he's not Jo's brother and that Jo's getting married. Can he stop the wedding in time?,5,12492,25000000,12320393,87,-12679607
Dr. Dolittle 2,2001-08-24,"Comedy, Family, Fantasy",87,USA,English,Steve Carr,"Hugh Lofting, Larry Levin","Eddie Murphy, Kristen Wilson, Raven-Symoné, Kyla Pratt, Lil' Zane, Denise Dowse, James Avery, Elayn J. Taylor, Andy Richter, Kevin Pollak, Victor Raider-Wexler, Jeffrey Jones, Mark Griffin, Ken Hudson Campbell, Anne Stedman",Dolittle must save a forest and a bear's life.,4.7,41189,70000000,176104344,81,106104344
Kung Pow: Enter the Fist,2002-07-26,"Action, Comedy",81,"USA, Hong Kong, Mexico, Taiwan",English,Steve Oedekerk,Steve Oedekerk,"Steve Oedekerk, Fei Lung, Leo Lee, Ling-Ling Hsieh, Lin Yan, Chia Yung Liu, Hui Lou Chen, Chi Ma, Jennifer Tung, Escobar Tongue, Ming Lo, Peggy Lu, Tad Horino, Tori Tran, Simon Rhee",A rough-around-the-edges martial arts master seeks revenge for his parent's death.,6.2,43031,10000000,16994625,521,6994625
The Four Feathers,2002-10-31,"Action, Adventure, Drama",132,"UK, USA",English,Shekhar Kapur,"A.E.W. Mason, Michael Schiffer","Wes Bentley, Mohamed Bouich, Campbell Brown, Daniel Caltagirone, James Cosmo, Andy Coumbe, Angela Douglas, Karim Doukkali, Lucy Gordon, Megan Hall, James Hillier, Nick Holder, Djimon Hounsou, Kate Hudson, Alex Jennings",A British officer resigns his post just before battle and subsequently receives four white feathers from his friends and fiancee as symbols of what they believe to be his cowardice.,6.5,32187,35000000,29882645,225,-5117355
Freddy Got Fingered,2001-04-20,Comedy,87,USA,English,Tom Green,"Tom Green, Derek Harvie","Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams, Anthony Michael Hall, Julie Hagerty, Jackson Davies, Connor Widdows, John R. Taylor, Bob Osborne, Fiona Hogan, George Gordon, Ron Selmour, Drew Barrymore","An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",4.6,45503,14000000,14343028,681,343028
Ocean's Eleven,2001-12-21,"Crime, Thriller",116,USA,English,Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell","George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence, Lori Galinski, Bernie Mac, Brad Pitt, Mark Gantt, Tim Perez, Elliott Gould, Frank Patton III, Casey Affleck, Scott Caan, Eddie Jemison, Jorge R. Hernandez",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,7.7,504464,85000000,450717150,945,365717150
Serendipity,2001-12-21,"Comedy, Romance",90,"USA, Canada",English,Peter Chelsom,Marc Klein,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, Eugene Levy, Lilli Lavine, Michael Guarino Jr., Abdul Alshawish, Stephen Bruce, David Sparrow, Ann Talman, Crystal Bock, Gary Gerbrandt, Kate Blumberg, Ron Payne","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",6.9,102107,28000000,77516304,401,49516304
Slackers,2002-02-01,"Comedy, Romance",86,"Canada, USA",English,Dewey Nicks,David H. Steinberg,"Devon Sawa, Jason Segel, Michael C. Maronna, Jason Schwartzman, Jaime King, Laura Prepon, Travis Davis, Jim Rash, Nat Faxon, Don Michaelson, Retta, Marilyn Staley, Jason Garner, Gedde Watanabe, Heidi Kramer","When geeky Ethan discovers three fellow students scamming the examination system, he blackmails them to win over the college's most popular girl.",5.4,13652,14000000,6413915,107,-7586085
Vanity Fair,2005-03-11,Drama,141,"USA, UK, India",English,Mira Nair,"Matthew Faulk, Mark Skeet","Gabriel Byrne, Angelica Mandy, Roger Lloyd Pack, Ruth Sheen, Kate Fleetwood, Reese Witherspoon, Lillete Dubey, Romola Garai, Tony Maudsley, Deborah Findlay, John Franklyn-Robbins, Paul Bazely, Rhys Ifans, Jonathan Rhys Meyers, Charlie Beall","Growing up poor in London, Becky Sharp defies her poverty-stricken background and ascends the social ladder alongside her best friend, Amelia Sedley.",6.2,20889,23000000,19463185,157,-3536815
Chocolat,2001-02-23,"Drama, Romance",121,"UK, USA",English,Lasse Hallström,"Joanne Harris, Robert Nelson Jacobs","Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil, Hélène Cardona, Harrison Pratt, Gaelan Connell, Élisabeth Commelin, Ron Cook, Guillaume Tardieu, Hugh O'Conor, John Wood, Lena Olin, Peter Stormare, Leslie Caron",A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,7.2,175310,25000000,152699946,521,127699946
Harry Potter and the Sorcerer's Stone,2001-12-06,"Adventure, Family, Fantasy",152,"UK, USA",English,Chris Columbus,"J.K. Rowling, Steve Kloves","Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets, Daniel Radcliffe, Fiona Shaw, Harry Melling, Richard Griffiths, Derek Deadman, Ian Hart, Ben Borowiecki, Warwick Davis, Verne Troyer, John Hurt, Richard Bremmer","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,625097,125000000,1001985848,1754,876985848
The New Guy,2002-08-23,Comedy,88,USA,English,Ed Decter,David Kendall,"DJ Qualls, Eliza Dushku, Zooey Deschanel, Jerod Mixon, Parry Shen, Lyle Lovett, Eddie Griffin, Sunny Mabrey, Ross Patterson, Matt Gogin, Horatio Sanz, Tony Hawk, Geoffrey Lewis, Charlie O'Connell, Gene Simmons",A high school senior branded uncool in the ninth grade gets himself expelled so he changes his image to cool kid at the town's other high school.,5.9,33220,13000000,31167388,164,18167388
"Dude, Where's My Car?",2001-06-08,"Comedy, Mystery, Sci-Fi",83,USA,English,Danny Leiner,Philip Stark,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff, Kristy Swanson, David Herman, Hal Sparks, Charlie O'Connell, John Toles-Bey, Christian Middelthon, Dave Bannick, James Vincent, Bob Clendenin, Mary Lynn Rajskub, Kevin Christy",Two potheads wake up after a night of partying and cannot remember where they parked their car.,5.5,132973,13000000,73180723,476,60180723
Exit Wounds,2001-03-16,"Action, Crime, Thriller",101,"USA, Canada",English,Andrzej Bartkowiak,"Ed Horowitz, Richard D'Ovidio","Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes, Matthew G. Taylor, Paolo Mastropietro, Shane Daly, Drag-On","Orin Boyd, a tough cop in an inner-city precinct discovers a web of dirty cops and corruption.",5.6,31636,50000000,79958599,243,29958599
The Hole,2001-08-31,"Drama, Mystery, Thriller",102,UK,English,Nick Hamm,"Guy Burt, Ben Court","Thora Birch, Desmond Harrington, Daniel Brocklebank, Laurence Fox, Keira Knightley, Embeth Davidtz, Steven Waddington, Emma Griffiths Malin, Jemma Powell, Gemma Craven, Anastasia Hille, Kelly Hunter, Maria Pastel, Celia Montague, Kevin Trainor",Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,6.2,43625,5073211.4,7819851,256,2746639.5999999996
The Matrix Revolutions,2003-11-05,"Action, Sci-Fi",129,USA,English,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan, Francine Bell, Monica Bellucci, Rachel Blackman, Henry Blasingame, Ian Bliss, David Bowers, Zeke Castelli, Collin Chou, Essie Davis, Laurence Fishburne, Nona Gaye",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,6.8,439565,150000000,427344064,2131,277344064
Valentine,2001-02-02,"Horror, Mystery, Thriller",96,USA,English,Jamie Blanks,"Tom Savage, Donna Powers","Denise Richards, David Boreanaz, Marley Shelton, Jessica Capshaw, Jessica Cauffiel, Katherine Heigl, Hedy Burress, Fulvio Cecere, Daniel Cosgrove, Johnny Whitworth, Woody Jeffreys, Adam J. Harrington, Claude Duhamel, Wyatt Page, Benita Ha",Five women are stalked by an unknown assailant while preparing for Valentine's Day.,4.9,24630,29000000,36684136,374,7684136
The Man Who Wasn't There,2001-11-30,"Crime, Drama",116,"UK, USA",English,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini, Katherine Borowitz, Jon Polito, Scarlett Johansson, Richard Jenkins, Tony Shalhoub, Christopher Kriesa, Brian Haley, Jack McGee, Gregg Binkley, Alan Fudge, Lilyan Chauvin","A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",7.5,102236,20000000,18916623,457,-1083377
Bridget Jones's Diary,2001-10-19,"Comedy, Drama, Romance",97,"UK, France, USA",English,Sharon Maguire,"Helen Fielding, Helen Fielding","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner, Jim Broadbent, Colin Firth, Charmian May, Hugh Grant, Paul Brooke, Felicity Montagu, Shirley Henderson, Sally Phillips, James Callis, Charlie Caine, Gareth Marks",Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,6.7,219944,25000000,281929795,590,256929795
Le placard,2001-10-26,Comedy,84,France,French,Francis Veber,"Francis Veber, Francis Veber","Daniel Auteuil, Gérard Depardieu, Thierry Lhermitte, Michèle Laroque, Jean Rochefort, Alexandra Vandernoot, Stanislas Forlani, Michel Aumont, Edgar Givry, Thierry René, Armelle Deutsch, Michèle Garcia, Laurent Gamelon, Vincent Moscato, Irina Ninova","A man spreads the rumor of his fake homosexuality with the aid of his neighbor, to prevent his imminent firing at his work.",7,16401,15220800,50104745,102,34883945
Stuart Little 2,2002-08-30,"Animation, Adventure, Comedy",77,USA,English,Rob Minkoff,"E.B. White, Douglas Wick","Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki, Anna Hoelck, Ashley Hoelck, Nathan Lane, Melanie Griffith, James Woods, Steve Zahn, Marc John Jefferies, Angelo Massagli, Jim Doughan, Brad Garrett, Conan McCarty",Stuart and Snowbell set out across town to rescue a friend.,5.5,49301,120000000,169956806,83,49956806
Wet Hot American Summer,2002-04-11,"Comedy, Romance",97,USA,English,David Wain,"Michael Showalter, David Wain","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau, Paul Rudd, Zak Orth, Christopher Meloni, A.D. Miles, Molly Shannon, Gideon Jacobs, Ken Marino, Joe Lo Truglio, Michael Ian Black, Liam Norton, Amy Poehler","Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",6.6,53402,5000000,295206,330,-4704794
40 Days and 40 Nights,2002-05-10,"Comedy, Romance",96,"USA, UK, France",English,Michael Lehmann,Rob Perez,"Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Adam Trese, Emmanuelle Vaugier, Lorin Heath, Aaron Trainor, Glenn Fitzgerald, Monet Mazur, Christine Chatelain, Keegan Connor Tracy, Michael C. Maronna, Vinessa Shaw, Stefanie von Pfetten, Stanley Anderson","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",5.6,69669,17000000,95146283,219,78146283
Italiensk for begyndere,2002-05-03,"Comedy, Drama, Romance",118,"Denmark, Sweden",Danish,Lone Scherfig,Lone Scherfig,"Anders W. Berthelsen, Anette Støvelbæk, Ann Eleonora Jørgensen, Peter Gantzler, Lars Kaalund, Sara Indrio Jensen, Karen-Lise Mynster, Rikke Wölck, Elsebeth Steentoft, Bent Mejding, Lene Tiemroth, Claus Gerving, Jesper Christensen, Merete Voldstedlund, Henning Jensen",Several lonely hearts in a semi-provincial suburb of a town in Denmark use a beginner's course in Italian as the platform to meet the romance of their lives.,7,12650,1000000,16350876,88,15350876
American Outlaws,2002-03-01,"Action, Western",94,USA,English,Les Mayfield,"Roderick Taylor, Roderick Taylor","Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith, Harris Yulin, Kathy Bates, Timothy Dalton, Will McCormack, Ronny Cox, Terry O'Quinn, Nathaniel Arcand, Ty O'Neal, Joe Stevens, Barry Tubb",5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,6,13782,35000000,13678913,169,-21321087
Swordfish,2001-09-28,"Action, Crime, Thriller",99,USA,English,Dominic Sena,Skip Woods,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Sam Shepard, Vinnie Jones, Drea de Matteo, Rudolf Martin, Zach Grenier, Camryn Grimes, Angelo Pagán, Chic Daniel, Kirk B.R. Woller, Carmen Argenziano, Tim DeKay","A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.",6.5,174509,102000000,147080413,556,45080413
Someone Like You...,2002-06-21,"Comedy, Romance",97,USA,English,Tony Goldwyn,"Laura Zigman, Elizabeth Chandler","Ashley Judd, Greg Kinnear, Hugh Jackman, Marisa Tomei, Ellen Barkin, Catherine Dent, Peter Friedman, Laura Regan, Sue Jin Song, Keith Reddin, Derick Karlton Grant, Donna Hanover, Matthew Coyle, Nicolle Rochelle, Pon Yang","After being jilted by her boyfriend, a talk show talent scout writes a column on the relationship habits of men which gains her national fame.",6.1,23187,23000000,38689940,168,15689940
Charlotte Gray,2002-06-21,"Drama, Romance, Thriller",121,"UK, Australia, Germany",English,Gillian Armstrong,"Sebastian Faulks, Jeremy Brock","Cate Blanchett, James Fleet, Abigail Cruttenden, Charlotte McDougall, Rupert Penry-Jones, Robert Hands, Tom Goodman-Hill, Michael Fitzgerald, Hugh Ross, Martin Oldfield, Nicholas Farrell, Mike Burnside, Damian Myerscough, Miranda Bell, Angus Wright",A young Scottish woman joins the French Resistance during World War II to rescue her Royal Air Force boyfriend who is lost in France.,6.4,10509,20000000,5323109,135,-14676891
Sen to Chihiro no kamikakushi,2003-04-18,"Animation, Adventure, Family",125,Japan,Japanese,Hayao Miyazaki,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryûnosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",8.6,626693,19000000,355467056,1325,336467056
Windtalkers,2002-06-28,"Action, Drama, War",134,USA,English,John Woo,"John Rice, Joe Batteer","Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich, Mark Ruffalo, Brian Van Holt, Martin Henderson, Roger Willie, Frances O'Connor, Christian Slater, Jason Isaacs, William Morts, Cameron Thor, Kevin Cooney, Holmes Osborne","Two U.S. Marines in World War II are assigned to protect Navajo Marines, who use their native language as an unbreakable radio cypher.",6.1,64627,115000000,77628265,464,-37371735
Y tu mamá también,2001-11-23,Drama,106,Mexico,Spanish,Alfonso Cuarón,"Carlos Cuarón, Alfonso Cuarón","Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría, Marta Aura, Maribel Verdú, Juan Carlos Remolina","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",7.6,113683,2000000,33616692,405,31616692
Thir13en Ghosts,2002-03-01,"Fantasy, Horror",91,"USA, Canada",English,Steve Beck,"Robb White, Neal Marshall Stevens","Tony Shalhoub, Embeth Davidtz, Matthew Lillard, Shannon Elizabeth, Alec Roberts, JR Bourne, Rah Digga, F. Murray Abraham, Matthew Harrison, Jacob Rupp, Mike Crestejo, Aubrey Lee Culp, Charles Andre, Mikhael Speidel, Daniel Wesley","When Cyrus Kriticos, a very rich collector of unique things dies, he leaves it all to his nephew and his family. All including his house, his fortune, and his malicious collection of ghosts!",5.6,77992,42000000,68467960,492,26467960
Joe Dirt,2001-04-11,"Adventure, Comedy, Drama",91,USA,English,Dennie Gordon,"David Spade, Fred Wolf","David Spade, Brittany Daniel, Dennis Miller, Adam Beach, Christopher Walken, Jaime Pressly, Kid Rock, Erik Per Sullivan, Megan Taylor Harvey, Caroline Aaron, Fred Ward, John Farley, Bob Zany, Bean Miller, Lee Walker","After being abandoned by his parents at the Grand Canyon, Joe Dirt tells the story of his journey to find his parents.",6,50515,17700000,30987695,205,13287695
Amores perros,2001-03-02,"Drama, Thriller",154,Mexico,Spanish,Alejandro G. Iñárritu,Guillermo Arriaga,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche, Jorge Salinas, Marco Pérez, Rodrigo Murray, Humberto Busto, Gerardo Campbell, Rosa María Bianchi, Dunia Saldívar, Adriana Barraza, José Sefami, Lourdes Echevarría","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",8.1,219283,2000000,20908467,402,18908467
